country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,02-04-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,03-04-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,04-04-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,05-04-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,06-04-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,07-04-2021,120000,120000,,,3000,0.31,0.31,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Albania,ALB,10-01-2021,0,0,,,,0,0,,,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,11-01-2021,,,,,64,,,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,12-01-2021,128,128,,,64,0,0,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,13-01-2021,188,188,,60,63,0.01,0.01,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,14-01-2021,266,266,,78,66,0.01,0.01,,23,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,15-01-2021,308,308,,42,62,0.01,0.01,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,16-01-2021,369,369,,61,62,0.01,0.01,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,17-01-2021,405,405,,36,58,0.01,0.01,,20,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,18-01-2021,447,447,,42,55,0.02,0.02,,19,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,19-01-2021,483,483,,36,51,0.02,0.02,,18,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,20-01-2021,519,519,,36,47,0.02,0.02,,16,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,21-01-2021,549,549,,30,40,0.02,0.02,,14,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,22-01-2021,,,,,34,,,,12,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,23-01-2021,,,,,26,,,,9,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,24-01-2021,,,,,21,,,,7,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,25-01-2021,,,,,15,,,,5,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,26-01-2021,,,,,9,,,,3,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,27-01-2021,,,,,4,,,,1,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,28-01-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,29-01-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,30-01-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,31-01-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,01-02-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,02-02-2021,550,549,1,,0,0.02,0.02,0,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,03-02-2021,,,,,12,,,,4,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,04-02-2021,,,,,24,,,,8,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,05-02-2021,,,,,35,,,,12,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,06-02-2021,,,,,47,,,,16,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,07-02-2021,,,,,59,,,,21,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,08-02-2021,,,,,71,,,,25,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,09-02-2021,1127,689,438,,82,0.04,0.02,0.02,28,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,10-02-2021,,,,,81,,,,28,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,11-02-2021,,,,,79,,,,27,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,12-02-2021,,,,,78,,,,27,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,13-02-2021,,,,,76,,,,26,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,14-02-2021,,,,,75,,,,26,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,15-02-2021,,,,,73,,,,25,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,16-02-2021,,,,,72,,,,25,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,17-02-2021,1701,1090,611,,72,0.06,0.04,0.02,25,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,18-02-2021,3049,2438,611,1348,254,0.11,0.08,0.02,88,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,19-02-2021,4177,,,1128,405,0.15,,,141,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,20-02-2021,,,,,516,,,,179,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,21-02-2021,,,,,627,,,,218,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,22-02-2021,6728,6073,655,,739,0.23,0.21,0.02,257,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,23-02-2021,,,,,891,,,,310,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,24-02-2021,,,,,1043,,,,362,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,25-02-2021,10135,,,,1012,0.35,,,352,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,26-02-2021,,,,,1000,,,,347,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,27-02-2021,,,,,1027,,,,357,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,28-02-2021,,,,,1054,,,,366,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,01-03-2021,14295,,,,1081,0.5,,,376,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,02-03-2021,,,,,1026,,,,357,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,03-03-2021,15793,,,,971,0.55,,,337,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,04-03-2021,,,,,927,,,,322,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,05-03-2021,,,,,897,,,,312,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,06-03-2021,,,,,867,,,,301,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,07-03-2021,,,,,838,,,,291,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,08-03-2021,,,,,808,,,,281,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,09-03-2021,,,,,820,,,,285,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,10-03-2021,21613,,,,831,0.75,,,289,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,11-03-2021,,,,,857,,,,298,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,12-03-2021,23635,,,,883,0.82,,,307,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,13-03-2021,,,,,1042,,,,362,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,14-03-2021,,,,,1201,,,,417,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,15-03-2021,,,,,1361,,,,473,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,16-03-2021,,,,,1520,,,,528,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,17-03-2021,33369,,,,1679,1.16,,,583,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,18-03-2021,,,,,1960,,,,681,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,19-03-2021,,,,,2240,,,,778,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,20-03-2021,,,,,2386,,,,829,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,21-03-2021,,,,,2533,,,,880,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,22-03-2021,48229,,,,2679,1.68,,,931,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,23-03-2021,51690,,,3461,2895,1.8,,,1006,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,24-03-2021,53992,,,2302,2946,1.88,,,1024,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,25-03-2021,59348,,,5356,3287,2.06,,,1142,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,26-03-2021,62248,,,2900,3276,2.16,,,1138,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,27-03-2021,64075,,,1827,3113,2.23,,,1082,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,28-03-2021,78000,,,13925,4678,2.71,,,1626,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,29-03-2021,,,,,7204,,,,2503,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,30-03-2021,119321,,,,9662,4.15,,,3357,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,31-03-2021,138846,,,19525,12122,4.82,,,4212,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,01-04-2021,155463,,,16617,13731,5.4,,,4771,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,02-04-2021,172486,,,17023,15748,5.99,,,5472,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,03-04-2021,185496,,,13010,17346,6.45,,,6028,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,04-04-2021,192882,,,7386,16412,6.7,,,5703,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,05-04-2021,206708,,,13826,15435,7.18,,,5363,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,06-04-2021,221588,,,14880,14610,7.7,,,5077,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,07-04-2021,232379,,,10791,13362,8.07,,,4643,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,08-04-2021,242542,,,10163,12440,8.43,,,4323,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Algeria,DZA,29-01-2021,0,,,,,0,,,,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,30-01-2021,30,,,30,30,0,,,1,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,31-01-2021,,,,,1889,,,,43,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,01-02-2021,,,,,2509,,,,57,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,02-02-2021,,,,,2819,,,,64,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,03-02-2021,,,,,3005,,,,69,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,04-02-2021,,,,,3129,,,,71,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
